Date,nifty_50,gold,fd,bond
2004-01-31,1809.75,0,100.0,100.0
2004-02-29,1800.3,0,100.78,100.42
2004-03-31,1771.9,0,101.56,100.85
2004-04-30,1796.1,9207,102.35,101.28
2004-05-31,1483.6,0,103.15,101.71
2004-06-30,1505.6,0,103.95,102.14
2004-07-31,1632.3,0,104.76,102.57
2004-08-31,1631.75,0,105.58,103.0
2004-09-30,1745.5,0,106.4,103.44
2004-10-31,1786.9,6329,107.23,103.88
2004-11-30,1958.8,6528,108.06,104.32
2004-12-31,2080.5,6307,108.9,104.76
2005-01-31,2057.6,6000,109.75,105.2
2005-02-28,2103.25,6245,110.56,105.65
2005-03-31,2035.65,6103,111.38,106.1
2005-04-30,1902.5,6229,112.2,106.55
2005-05-31,2087.55,5966,113.03,107.01
2005-06-30,2220.6,6214,113.87,107.47
2005-07-31,2312.3,6084,114.71,107.93
2005-08-31,2384.65,6263,115.56,108.39
2005-09-30,2601.4,6731,116.42,108.85
2005-10-31,2370.95,6822,117.28,109.32
2005-11-30,2652.25,7416,118.15,109.79
2005-12-31,2836.55,7638,119.02,110.26
2006-01-31,3001.1,8166,119.9,110.73
2006-02-28,3074.7,8112,120.67,111.21
2006-03-31,3402.55,8382,121.45,111.69
2006-04-30,3557.6,9609,122.23,112.17
2006-05-31,3071.05,9526,123.02,112.65
2006-06-30,3128.2,9220,123.81,113.14
2006-07-31,3143.2,9560,124.61,113.63
2006-08-31,3413.9,9554,125.41,114.12
2006-09-30,3588.4,8859,126.22,114.61
2006-10-31,3744.1,8894,127.03,115.1
2006-11-30,3954.5,9269,127.85,115.6
2006-12-31,3966.4,9265,128.67,116.1
2007-01-31,4100.15,9242,129.5,116.6
2007-02-28,4305.15,9628,130.1,117.11
2007-03-31,3850.75,9339,130.71,117.62
2007-04-30,4083.5,9203,131.32,118.13
2007-05-31,4296.4,8694,131.93,118.64
2007-06-30,4318.3,8662,132.55,119.16
2007-07-31,4447.55,8708,133.17,119.68
2007-08-31,4495.1,8935,133.79,120.2
2007-09-30,5000.55,9530,134.41,120.72
2007-10-31,5763.25,10083,135.04,121.25
2007-11-30,5900.45,10033,135.67,121.78
2007-12-31,6138.6,10598,136.3,122.31
2008-01-31,5480.25,11707,136.94,122.84
2008-02-29,5223.5,12396,137.53,123.38
2008-03-31,4734.5,11920,138.12,123.92
2008-04-30,5167.6,11370,138.71,124.46
2008-05-31,4825.0,12199,139.3,125.01
2008-06-30,4040.55,12879,139.9,125.56
2008-07-31,4240.85,12618,140.5,126.11
2008-08-31,4209.05,11895,141.1,126.66
2008-09-30,3921.2,13192,141.7,127.22
2008-10-31,3735.25,11630,142.31,127.78
2008-11-30,2752.25,13125,142.92,128.34
2008-12-31,2959.15,13630,143.53,128.9
2009-01-31,2873.0,14452,144.14,129.47
2009-02-28,2763.65,15504,144.87,130.04
2009-03-31,3020.95,15132,145.6,130.62
2009-04-30,3473.95,14503,146.34,131.2
2009-05-31,4448.95,14923,147.08,131.78
2009-06-30,4291.1,14451,147.82,132.36
2009-07-31,4636.45,14802,148.57,132.95
2009-08-31,4662.1,15125,149.32,133.54
